ground_truth_answer,predicted_answer
"The group discussed recording equipment issues, including the purchase of two additional headsets and the prospect of getting a new base station and a set of wireless microphones to replace those wired microphones currently in use.",The team was waiting for two new microphones to be assembled. The old microphones were giving out and were being replaced. The team was also thinking of getting more headsets and another wireless microphone setup. The wireless setup would cost $900 for the base station and $800 per channel. The team decided to go
"Efforts will be made to ensure that recording conventions are consistent across ICSI, the University of Washington, and SRI.","The team was using a combination of head-mounted microphones and lapel microphones. The head-mounted microphones were prone to problems, so the team decided to switch to using only lapel microphones for future meetings."
"Approximately 32-35 hours of meeting data have been recorded, roughly 30 hours of which comprise non-digits recordings. The transcribers have begun performing digit extraction (see abstract for Bmr013) and should be finished within a few days. Approximately 11 hours of speech have been transcribed.",There are 35 hours of meetings recorded so far. The transcribers have finished 11 hours of work. Postdoc F is currently working on data cleaning and channelization. A filter is being developed to tag and categorize comments.
"Efforts by speaker fe008 are in progress to ensure that transcripts are clean (i.e. spell checked), channelized, and conform to set conventions regarding the coding of numbers, acronyms, and explicit comments (e.g. door slams, coughs, and laughter). Subsequent efforts by speaker fe008 will be to tighten up boundaries on the time bins. Inter-annotator agreement was reported to be very good. Speaker mn014's multi-channel speech/non-speech segmenter is in use.","The transcript was in the process of being cleaned and channelized. Work had begun on transcribing digits. Transcribers were putting together information on numbers, acronyms, and other features. A filter was being developed to tag and categorize comments."
"Marketing summarized the user requirements according to the market reports. Users expected a fancy look, technological innovation, and minimization of repetitive strain injury. The team did a preliminary rating using a seven-point scale. The results were that the remote control's fashion style and location function were most highly rated, but the team was not satisfied enough with the minimization of repetitive strain injury. The team agreed on further modifications to the current prototype.","The market department required the product to have a fancy look and feel, technological innovation, be easy to use, incorporate current fashion trends, have a spongy texture and strong design colours, and be able to locate easily. The industrial department designed a prototype with a curvy shape, rubber case and buttons. The market department rated the"
"Marketing initially doubted that Industrial Designer was limited in the use of materials for the prototype, which would harm the fashion style. Marketing was soon convinced by Industrial Designer, however, that the changeable faces would allow users to customize their remote controls. Besides, the rubber case would give a spongy feel. Marketing thus rated one point for Industrial Designer's style design.","Marketing agreed that the prototype had successfully incorporated current fashion trends in terms of its spongy texture and fruit and vegetable design colours. Therefore, Marketing gave a one in the evaluation. Since the prototype was only limited in the use of materials, the team would need to further customize it. Still, the overall design was satisfactory to Marketing"
"Marketing considered the design of pointers unfeasible, for many users were prone to zap. Project Manager recommended the slight and small-sized buttons with more space in between. Regretfully, the team failed to come up with a perfectly feasible solution to the problem. The team thus gave low rate points to the prototype's minimization of repetitive strain injury.","The team agreed that the button type and material they had chosen for the bottom half of the remote control could reduce RSI. Also, a slight size increase could ease the problem of users moving around to hit accurately the buttons in between. With all these considerations, the team gave an average rating of four out of seven for this"
"The team calculated the cost of the remote control in the Euro. The team included one regular chip, one kinetic cell, one double-curved bottom, one push button, one LCD screen, as well as rubber and plastic materials. The team decided to recommend voice recognition to business customers. Once the budget increased, voice recognition would be incorporated. Overall, the present cost was 12.5 Euros and was under the budget.","First, the team members needed to agree on the kinetic energy source. After some discussion, they decided to go ahead with it. Then, they had to make sure the electronics, battery and case material they had chosen were within the budget. They found that some of their choices, like the double-curved case,"
"User Interface recommended the standard batteries to replace the kinetic batteries and lower the cost. Marketing was promised by User Interface that the change in battery type would not make any big difference in shape and colours. However, Marketing was still uncertain about the replacement. User Interface further explained that users were used to paying little attention to batteries which were installed internally.","User Interface thought that customers had never commented on the battery, so they should not compromise on the shape and colour instead. Also, User Interface suggested that they could try a standard battery. Compared with the kinetic one, it was not as expensive and it would not be a huge difference with the cost. The group agreed to"
"Industrial Designer implicated that if the kinetic batteries were replaced by the standard batteries, the voice recognition would have to be taken away as well. Project Manager, therefore, made a compromise that the team might provide the voice recognition in an upgraded version for the business class who expected high office specifications.","Industrial Designer thought that voice recognition was unnecessary and expensive. Marketing insisted that voice recognition was essential and agreed to be incorporated into the remote control. Project Manager accepted Marketing's proposal and decided to design the voice recognition system based on the budget. Moreover, Project Manager suggested that voice recognition could be initially offered to business class customers"
"The group thought the remote control should be fancy, innovative, easy to use, easy to find and spongy and evaluated the prototype with these criteria. Although they had brilliant ideas and designed a best remote control within their capacity, they just designed a product of high quality but low acceptance.","Marketing laid stress on the fancy look and feel of the remote control, which was agreed by other team members. Then the team evaluated the product with respect to innovation and ease of use. Also, the team agreed that the remote control was sufficiently featured with high quality. However, the overall acceptance of the remote control was low"
User Interface believed that voice recognition was hard to learn while Industrial Designer argued that the remote control had two parts and everyone could use the basic part. He also pointed out that an advanced user would like to explore additional functions.,"User Interface thought voice recognition was hard to learn for the elderly and thus the remote control was not that easy to use. Industrial Designer argued that the remote control was basic and easy to use for novices. For the elderly, it was also easy to use as long as they didn't use the voice recognition function. Marketing"
Marketing thought that the basic layout was mundane but the voice recognition was brilliant. User Interface added that it did not have the digits but had all the features a normal remote control had. Industrial Designer agreed but pointed out that they just design the best product within their capacity. Project agreed and concluded that it was of high quality but low acceptance.,"User Interface thought the remote control lacked the basic digit button and hence lacked competitiveness. However, Project Manager thought the remote control was very advanced and incorporated many features. Industrial Designer agreed and pointed out that the remote control was very simple and easy to use. In addition, Industrial Designer thought the remote control was a high-quality"
"Project Manager revealed that it would cost 22 Euros at current standards so they should leave out some characteristics that could not add much value. Since it could be dull and simple without those characteristics, the group supposed that the selling price could be raised to 50 Euros.","Solar cells were deemed to be a luxury that was not necessary for the basic functionality of the remote. Voice recognition was also considered to be a costly addition that was not essential. Instead, the team decided to focus on creating a durable and attractive casing for the remote, as well as ensuring that it had a simple and user"
Project Manager revealed that it would be over budget so they had to make some changes. He proposed to reduce costs by leaving out solar cells and not using voice recognition. Then User Interface supposed that the buttons could be made of plastics and Industrial Designer proposed to make the remote control straight and simple.,"The initial design of the remote control was priced at 22 Euros, exceeding the budget of 12.5 Euros. The high cost was mainly due to the use of solar cells and the incorporation of various features. To reduce the cost, the group first considered removing the solar cells. However, this was not"
"Since the prototype was over budget, Industrial Designer proposed to raise the selling price to 50 Euros. He thought it was not very expensive for a remote control that had this functionality.","Industrial Designer proposed that the price of this remote control with high technology should be about 50 Euros. Compared with other remote controls of the same kind, this price is very reasonable and attractive to customers. Moreover, this price is very high-end, which can help the company to build a good brand image. Last"
"User Interface and Industrial designer drawn dolphin and pig, which the two animals have smart and easy-to-draw features. Marketing suggested a horse and Project Manager thought they should design a remote control that's water resistant, strong and furry. Also he mentioned that remote control will be priced at 25 Euros and aimed to earn a revenue of fifty million Euros. Therefore, Project Manager encouraged teammates to reflect on experience when designing its function and format.",The group was asked to draw their favourite animals and describe its characteristics. User Interface drew a dolphin and Marketing drew a horse. Project Manager drew a pig. They all agreed that it should be soft and furry. Project Manager proposed water-resistant design and strong material. The group proposed tactile remote control. Marketing set the selling
"The initial feature suggested by Marketing was easy to find and User Interface suggested a call button on the television. And Marketing wanted something that could vibrate or had a signal if it had no sound. However, they were not sure whether it is expensive to design it. So Project Manager suggested designing a magnet or portable phone based couch for the remote control, which people no need to walk over the TV to find it.","Project Manager agreed with User Interface's suggestion of the call button. Project Manager pointed out that this kind of design already existed in portable phones, so there was no need to make a new invention. User Interface and Industrial Designer both agreed with Project Manager's analogy. Project Manager then proposed the design of couches with remote"
"Project Manager asked if the remote control needed to be made larger to avoid losing it. At the first beginning, User Interface suggested bigger, while Project Manager suggested a hand-sized device. Considering the light feature and putting noise on it, User Interface thought it would be feasible to make it mobile with a target price at 25 Euros.",The remote control should be hand-held size and it was agreed that it could not be too big. The team also discussed the possibility of adding something like a light on the remote control so that it would be easier to find. User Interface even suggested that the remote control could be made mobile so that it could run around
"Since User Interface initially suggested less button feature on the remote control, so Project Manager suggested a telly screen like what phones have. And User Interface mentioned about the master control in electronic houses. However, User Interface thought it is a bit expensive to create this feature, but Marketing mentioned the similar screen in phones is in the acceptable cost range. So, Project Manager agreed and suggested further discussion in the coming meeting.","Marketing first brought up the idea of using the TV screen as the screen on the remote control to reduce the cost. Project Manager agreed on it. Then Marketing mentioned that mobile phones with screens were very cheap, so the cost of adding a screen to the remote control would also be very cheap. User Interface agreed. Project Manager"
"User Interface reiterated that the remote control should have a robust and water resistant function. Marketing also mentioned a good tactile feel for the remote control function, which doesn't make hand sweat a lot. Therefore, Project Manager suggested a clip feature on the remote control so that people can clip it to their device.","Marketing suggested that the remote control should have a good feel and be water-resistant. Project Manager agreed and suggested that a clip could be attached to the remote control for users to clip it to somewhere, like a pocket. Project Manager thought this would be another good feature of the remote control. User Interface agreed. Marketing did"
"The selling price goal is 25 Euros and profit aim is fifty million Euros. Selling target is four million and the profit goal is fifty percent. So Project Manager mentioned that the group hopes to sell the remote control device internationally, instead of in Scotland or some European country.",Project Manager proposed the plan for the selling price of 25 Euros and the profit aim of 50 million Euros. The group then went on to discuss the marketing target of the product. User Interface asked how many they should sell to meet the profit goal. Marketing answered that they should sell 4 million. Project
"A pressing concern for the group is the DARPA meeting in July, which is only a short time away, and for which they would like to have some progress. ",The professor thought that the team should come up with something for the DARPA meeting in mid-July. The team was supposed to work on the transcriber interface. There was talk about doing something with the whiteboard and generating summaries. The professor thought that the team should generate a report for the meeting.
"For the DARPA meeting in July, the group proposed that they should have the question answering mock-up and transcriber interface ready for then, and also have data available.",The professor asked Adam to continue with the transcription demo and interface work. The group had some way of answering questions posed to the system and retrieving relevant information from it. The professor noted that the meeting was starting late and there was not much time left before the July DARPA meeting.
The final english SmartKom demo will be presented to the whole institute once the system is de-bugged and stabilised.,The transcriber pool has been growing and the project is on schedule with regards to transcriptions. Transcribers are currently editing meeting data collected previously. A sample of the transcriptions will be made available to DARPA in July.
"Segmentation for the recogniser has been done by hand which the group consider ""cheating"", instead now they want to use Thilo's automatic segmenter.","In order to move towards having more accurate results, the recognizer has been updated to perform recognition on automatically generated segments rather than hand-segmented data."
"The classifier segmentation work is going well, but needs more data to improve results since non-native speaker data cannot be used.",The group is planning to move to doing recognition on automatically generated segments.
"To improve the performance of Thilo's automatic segmenter, this is going to be retrained and adapted to run with Thilo's posteriors and speaker background models.","The presegmentation has been modified to include more accurate boundaries. Additionally, the models for background noise have been adapted to the meeting data."
"First, Grad E proposed a question about better discriminating the definition of user and situation models, and it was necessary to set values for the models. Then, they discussed the issues in terms of the user's running budget, which was vital for the outcome of decisions. They tried to design a set of terms to describe the user's financial policy, such as thrift, average, spendy, or more finer scale ones.","The team was working through defining the nodes in the belief-net that would link together various factors influencing meeting data. For the user, they decided to include cheap, average, or spendy as possible values. Similarly, for the situation, they wanted to include factors that would explain the reasonability of a meeting. The"
"The reason why they mentioned user budget was that they wanted to take this example to further discuss the value for user model. Also, user budget was an important factor for the outcomes of decisions. Then, they tried to decide which set of words could represent the budget better. Finally, they found that the words that could describe financial policy of users, such as user thrift, was appropriate.","The group agreed that the user's budget may influence the outcome of decisions. The running budget could be a good way to keep a running total of things. In addition, the group thought that people could be classified into different types based on their financial policy, such as cheap, average, or spendy. It would"
"Grad E proposed the idea that Go-there decision was also worth thinking about. Professor B suggested that the decision could stick to the discourse properties as a placeholder. With regard to the lack of ontologies, Professor B thought that it could use the same properties like exhibiting and selling. Grad E doubted the choice of binary EVA values, but Professor B insisted that it was still necessary to make this choice. Then the group members discussed the layout of belief-nets, for example, the connection between Go-there nodes and other ones such as endpoints. And Professor B reminded me that the belief-nets should not have loops.","The team decided that the endpoint decision node could feed into the Go-there node. They also had to make sure there would be no loops in the belief network. Additionally, they needed to define the values for the EVA nodes. The ontology did not provide sufficient information for the construction of the belief network. The team thought"
"Grad E first started the topic about Go-there decision, and then proposed the question about how to represent discourse. Though Professor B insisted on using true-and-false values, Grad E challenged Professor B's opinion by taking examples about whether people really wanted to go some place or not when they asked how to get there.","The endpoint could feed into the Go-there simply without any um intermediate nodes. Also, to avoid loops, the belief network should be broken up. The problem of loops would get even worse if it involved the computation of probabilities. Even though the exact probability computation was not discussed, the issue of loop was raised. Similarly"
"Professor B first emphasized the necessity of combining influences mathematically and asked Grad D to further explain the potential solutions. Then the students discussed the computation methods including weighted combination and mixture of experts, based on the mechanism of belief-nets. But there was no consensus on which method should be applied in belief-nets.","The team wanted to find a principled way of computing the probabilities that various factors contribute to the decision node. They first attempted to assign equal weights to each expert but decided that some experts were more reliable than others. Thus, they came up with two solutions. The first one was to assign a single weight to each expert."
Grad D first said that different experts were reliable in different situations and it was necessary to organically combine them to make the network adapt to diverse situations. The network could be divided into several parts and the network would decide which of the experts would be trusted in this particular situation. Grad D then answered other group members' questions about the layout of mixture of expert models and their detailed computation process.,"Grad D proposed the mixture of experts to deal with the unreliability of a single expert. In this model, the experts would be augmented with a new node called ""H"", which would take the inputs from other nodes and decide which expert was more reliable in a particular situation. The number corresponding to the most reliable expert would"
"The thesis proposal presents the idea of ""construal"" and makes claims as to how inferences are drawn in a probabilistic relational model by using information from the ontology, situation, user and discourse models. It was advised that more emphasis should be put on the role of construal in the understanding of metaphor and metonymy.","The thesis is about a probabilistic relational model that has some general, domain-general rules about how things are construed. The goal is to use the models to do some inferences in terms of what is being construed as what."
"The talk will present the work that is currently being done at ICSI including examples of inference of user intentions and of the recordings of the on-going data collection. The talk will also outline the theoretical (X-schemas, image schemas, Bayes-nets) and neural background.","The group was introduced to the idea of embodied and situated cognition, drawing on examples from primate behavior and suggesting that understanding language may require understanding its connection to the body and the world. A review of the digital Apollo corpus was presented, highlighting its utility for various linguistic and cognitive studies. The challenges of interpreting and representing real-"
"As the talk at EML will also refer to a theoretical framework, it was suggested that along with presenting NTL and the piece on mirror neurons, it also alludes to relevant fMRI work. The neural side of the research could be of interest to various groups. The language analysis itself will be introduced in terms of image schemas. On the other hand, it was arranged for more feedback on the thesis proposal to be sent by email. The latest version of the construction formalism will also be needed to complete the presentation.",The group was interested in learning more about the neurons and the FMRI research. The professor wanted to know how the group could explain language learning with their models. There was a plan to conduct research that would allow the team to observe the brain. The team thought that the big picture was understanding how language worked. One interesting
"Marketing revealed that the younger target group preferred colourful objects and soft material. Project Manager agreed and added that the remote control should be light and not too slippery. Then Industrial Designer introduced three casing possibilities: uncurved, single-curved and double-curved. Considering that uncurved design could be too dull and double-curved design would make it difficult to use scroll-wheels, the team chose the single-curved design.","Marketing suggested taking the fancy look and feel into consideration, which meant making the remote control colourful and spongy. Project Manager further suggested making it a curved design. Meanwhile, Marketing and Industrial Designer both agreed that rubber would be the ideal material. User Interface later added scroll wheels to the design, making it more modern. At last"
"Industrial Designer supposed that natural feeling could be a factor. Marketing agreed and revealed that the younger target group preferred soft material but not necessarily a real sponge. Then User Interface proposed to use rubber, which was agreed by the whole team.","The team agreed that the feel of the material had to be spongy. Marketing suggested that they could use soft material and make it colourful or like cell phones, exchangeable covers. Project Manager further suggested that they could make a few very colourful ones, and a very traditional cover. User Interface mentioned the example of Bananar"
"Industrial Designer introduced uncurved, single-curved and double-curved design at first. User Interface and Project Manager thought that uncurved design was too dull and Industrial Designer pointed out that double-curved design would make it impossible to use scroll-wheels, so the team selected single-curved design eventually.","The team was making a trade-off between the stylish look and the functional demands of the remote control. On the one hand, the team agreed that a curved design was preferable to a dull flat one. On the other hand, they had to use scroll wheels in the remote control, which was incompatible with the double-"
"Industrial Designer proposed to use scroll-wheels, which could be integrated with buttons. User Interface doubted its practicability and then Project Manager proposed to integrate a scroll-bar on the side to mute the device. As they would not use an LCD display, a regular chip was enough.","Solar power could be an option. For the user interface, push buttons and scroll wheels were available. An LCD display was optional. Voice recognition was another way of controlling the remote. The group would further investigate the cost of adding these features. Also, the group would see if there was a need for an extra high-"
Industrial Designer proposed to use scroll-wheels integrated with buttons. User Interface doubted its practicability and supposed that a round button with four directions could be better. But Project Manager liked the idea of scroll-wheels as it might attract young customers and suggested that they could be used to mute the device.,Industrial Designer thought that solar power was a traditional but feasible option. He and User Interface discussed the merits of scroll-wheels. The industrial designer pointed out that such wheels were not new and had been used in many other devices. Yet he and the project manager thought that scroll-wheels could still be a good way to make
"Industrial Manager revealed that if LCD was used, they had to choose advanced chips. Project Manager thought it was within the budget and LCD displays could add extra high-tech feeling. User Interface then pointed out that they already had too many high-tech substances including scroll-wheels, voice recognition and a fancy look so they didn't need to use LCD displays.","Industrial Designer suggested that LCD was a bit costly and not very standard. Also, the team thought that with the scroll wheels, the speaker and the rubber material, their remote had already incorporated enough advanced technology. Thus, they came to the conclusion that the LCD display was unnecessary. Project Manager later agreed on this point. Meanwhile"
"On battery issue, Industrial Designer expressed a desire to minimize the size of the battery. Meanwhile, cost, power consumption, wireless range and data transmission were supposed to be considered. User Interface's presentation followed. The remote control design would be simplified and user-friendly. To make the style more trendy, User Interface decided on a flip-top model.","Firstly, the team agreed that the triple A battery was the smallest and cheapest one, however, it might be bulky and the team might consider other options. Secondly, the team might design a flip-top model which could access a wide range of audiences and incorporate shockproof features and a soft button. Also, the team"
"Industrial Designer admitted that current remote controls were mostly powered by triple A batteries. However, Industrial Designer also pointed out that they were bulky, although they had been the smallest fit-in batteries at present. Industrial Designer expressed a desire to find a smaller alternative for triple A batteries.",Industrial Designer thought that the size of the battery was considerable since most remote controls were chunky because of the size of the batteries. He also wondered about the power consumption and how much was needed to send the data across. He concluded that the small size could be achieved by using a smaller battery. He left the design of the
